domain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
asset,asset,asset_id,asset_id,Asset Identifier,BIGINT,Y,,,,master_data,Unique identifier for the physical asset owned by NCDOT. Primary key for the asset master record.,GASB 34
asset,asset,assigned_employee_id,assigned_employee_id,Assigned Employee Id (Foreign Key),BIGINT,,hr.employee.employee_id,,,master_data,"Foreign key linking to hr.employee. Business justification: Assets like vehicles, laptops, and equipment are assigned to specific employees for custody and accountability. Asset management tracks who currently holds each asset for inventory control and respons",Internal - LLM Generated Cross-Domain Link
asset,asset,cost_center_id,cost_center_id,Cost Center Id (Foreign Key),BIGINT,,finance.cost_center.cost_center_id,,,master_data,"Foreign key linking to finance.cost_center. Business justification: Assets are assigned to cost centers for budget tracking and departmental accountability. Finance uses this to allocate maintenance costs and capital expenditures to responsible divisions like highway,",Internal - LLM Generated Cross-Domain Link
asset,asset,dmv_office_id,dmv_office_id,Dmv Office Id (Foreign Key),BIGINT,,dmv.office.office_id,,,master_data,"Foreign key linking to dmv.office. Business justification: NCDOT assets (computers, furniture, kiosks, signage) are physically located at specific DMV offices. Asset management tracks which office holds each asset for inventory, maintenance scheduling, and pr",Internal - LLM Generated Cross-Domain Link
asset,asset,location_id,location_id,Location Id (Foreign Key),BIGINT,,asset.location.location_id,,,master_data,"Foreign key linking to asset.location. Business justification: Asset must reference its physical location. Location table provides comprehensive location data including functional location, organizational hierarchy (division/district/county), geographic coordinat",Internal - LLM Generated Cross-Domain Link
asset,asset,originating_project_id,originating_project_id,Originating Project Id (Foreign Key),BIGINT,,project.project.project_id,,,master_data,"Foreign key linking to project.project. Business justification: New assets (bridges, roads, signals) are created through capital projects. Asset management tracks which construction project built each asset for warranty, as-built documentation, and lifecycle histo",Internal - LLM Generated Cross-Domain Link
asset,asset,parcel_id,parcel_id,Parcel Id (Foreign Key),BIGINT,,rightofway.parcel.parcel_id,,,master_data,"Foreign key linking to rightofway.parcel. Business justification: Transportation assets (signs, guardrails, signals) are physically located on specific right-of-way parcels. Asset management requires tracking which parcel each asset occupies for maintenance access, ",Internal - LLM Generated Cross-Domain Link
asset,asset,type_id,type_id,Type Id (Foreign Key),BIGINT,,asset.type.type_id,,,master_data,"Foreign key linking to asset.type. Business justification: Asset must reference its type classification to inherit capitalization threshold, depreciation method, useful life, and maintenance strategy. Normalizes asset_class, category, depreciation_method, use",Internal - LLM Generated Cross-Domain Link
asset,asset,accumulated_depreciation,accumulated_depreciation,Accumulated Depreciation,"DECIMAL(15,2)",,,confidential,,master_data,"Total depreciation expense accumulated since the asset was placed in service, in US dollars.",GASB 34
asset,asset,acquisition_cost,acquisition_cost,Acquisition Cost,"DECIMAL(15,2)",,,confidential,,master_data,Original purchase price or acquisition cost of the asset in US dollars.,GASB 34
asset,asset,acquisition_date,acquisition_date,Acquisition Date,DATE,,,,,master_data,Date when the asset was acquired or purchased by NCDOT.,GASB 34
asset,asset,acquisition_method,acquisition_method,Acquisition Method,STRING,,,,purchase|lease|donation|transfer|construction|fabrication|grant|other,master_data,Method by which the asset was acquired by NCDOT.,GASB 34
asset,asset,ada_compliant_flag,ada_compliant_flag,Americans with Disabilities Act (ADA) Compliant Flag,BOOLEAN,,,,true|false,master_data,Indicator of whether the asset meets ADA accessibility requirements.,ADA
asset,asset,barcode,barcode,Barcode Identifier,STRING,,,,,master_data,Barcode value used for scanning and automated tracking of the asset in inventory systems.,NCDOT Asset Management Policy
asset,asset,capacity,capacity,Asset Capacity,STRING,,,,,master_data,"Operational capacity specification for the asset, such as passenger capacity, load capacity, or processing capacity with units.",AASHTO
asset,asset,color,color,Asset Color,STRING,,,,,master_data,Primary color or paint scheme of the asset for identification purposes.,NCDOT Fleet Management
asset,asset,condition_rating,condition_rating,Asset Condition Rating,"DECIMAL(5,2)",,,,,master_data,"Numerical condition rating score for the asset, typically on a scale of 0-100, used for prioritization and capital planning.",AASHTO Transportation Asset Management Guide
asset,asset,cost_center,cost_center,Cost Center,STRING,,,,,master_data,SAP cost center code to which asset-related expenses are charged for financial tracking and reporting.,SAP FI/CO
asset,asset,created_date,created_date,Record Created Date,DATE,,,,,master_data,Date when the asset master record was created in the system.,SAP PM Asset Master
asset,asset,criticality_rating,criticality_rating,Asset Criticality Rating,STRING,,,,critical|high|medium|low,master_data,Business criticality classification indicating the importance of the asset to NCDOT operations and service delivery.,ISO 55000
asset,asset,description,description,Asset Description,STRING,,,,,master_data,"Detailed textual description of the asset including make, model, and key characteristics.",GASB 34
asset,asset,dimensions,dimensions,Asset Dimensions,STRING,,,,,master_data,"Physical dimensions of the asset including length, width, and height with units.",AASHTO
asset,asset,disposal_date,disposal_date,Disposal Date,DATE,,,,,master_data,"Date when the asset was disposed of, sold, transferred, or retired from service.",GASB 34
asset,asset,disposal_method,disposal_method,Disposal Method,STRING,,,,sale|auction|trade_in|donation|scrap|transfer|demolition|other,master_data,Method used to dispose of the asset at end of life.,GASB 34
asset,asset,disposal_proceeds,disposal_proceeds,Disposal Proceeds,"DECIMAL(15,2)",,,confidential,,master_data,"Amount received from the sale or disposal of the asset, in US dollars.",GASB 34
asset,asset,engine_hours,engine_hours,Engine Hours,"DECIMAL(12,2)",,,,,master_data,Total accumulated engine operating hours for equipment and vehicle assets.,NCDOT Fleet Management
asset,asset,environmental_compliance_flag,environmental_compliance_flag,Environmental Compliance Flag,BOOLEAN,,,,true|false,master_data,Indicator of whether the asset meets current environmental compliance standards and regulations.,NEPA
asset,asset,federal_participation_percent,federal_participation_percent,Federal Participation Percentage,"DECIMAL(5,2)",,,,,master_data,"Percentage of asset cost funded by federal sources, used for grant compliance and reporting.",2 CFR 200
asset,asset,fuel_capacity_gallons,fuel_capacity_gallons,Fuel Capacity in Gallons,"DECIMAL(10,2)",,,,,master_data,"Maximum fuel tank capacity for the asset, measured in gallons.",NCDOT Fleet Management
asset,asset,fuel_type,fuel_type,Fuel Type,STRING,,,,gasoline|diesel|electric|hybrid|propane|cng|biodiesel|e85|hydrogen|other,master_data,Type of fuel or energy source used to power the asset.,EPA Fuel Economy Standards
asset,asset,grant_number,grant_number,Grant Number,STRING,,,,,master_data,Federal or state grant number if the asset was acquired using grant funding.,2 CFR 200
asset,asset,grant_program,grant_program,Grant Program Name,STRING,,,,,master_data,"Name of the grant program that funded the asset acquisition, such as HSIP, CMAQ, BUILD, or INFRA.",2 CFR 200
asset,asset,in_service_date,in_service_date,In-Service Date,DATE,,,,,master_data,Date when the asset was placed into active service and began depreciation for accounting purposes.,GASB 34
asset,asset,inspection_frequency_months,inspection_frequency_months,Inspection Frequency in Months,INT,,,,,master_data,"Required frequency for formal inspections of the asset, expressed in months between inspections.",NBIS
asset,asset,insurance_expiration_date,insurance_expiration_date,Insurance Expiration Date,DATE,,,,,master_data,Date when the current insurance coverage expires for the asset.,NCGS Chapter 58
asset,asset,insurance_policy_number,insurance_policy_number,Insurance Policy Number,STRING,,,confidential,,master_data,"Insurance policy number covering the asset for liability, damage, or loss.",NCGS Chapter 58
asset,asset,last_inspection_date,last_inspection_date,Last Inspection Date,DATE,,,,,master_data,Date when the most recent formal inspection was conducted on the asset.,NBIS
asset,asset,last_maintenance_date,last_maintenance_date,Last Maintenance Date,DATE,,,,,master_data,Date when the most recent maintenance activity was completed on the asset.,SAP PM Work Order
asset,asset,license_plate_number,license_plate_number,License Plate Number,STRING,,,,,master_data,State-issued license plate number for registered vehicles in the NCDOT fleet.,NCGS Chapter 20
