"prompt","try_num","domains","products","honest_score","score_justifications"
"BUSINESS_CONTEXT_SMART_WORKER_PROMPT","1","*","*","92","Output follows all rules: preserved user-provided data for core business processes, jargons (DOH, DMV), systems (SAP, DCH, Beacon, DB2 Mainframe, SharePoint, Web Applications), and governing bodies (PCI, OWASP, NC Legislature). Elaborated each field with complementary, industry-specific information. Data domains count is 22, within the 15-25 target range with distinct, non-overlapping business functions. Common business jargons is comprehensive with 80+ terms covering transportation-specific acronyms, federal programs, technical identifiers, and regulatory terms. Systems of record expanded with module details for SAP and added realistic NCDOT-specific systems. Minor uncertainty exists around specific internal system names which may vary from actual implementation, but industry-standard defaults were used appropriately."
"DOMAINS_SMART_WORKER_PROMPT","1","*","*","95","All required rules were followed: 16 distinct, single‑word domains covering every listed data domain, interleaved operations and business, corporate limited to 12.5%, no technical or analytics domains, proper division labeling, and concise descriptions with relevant standards. No validation errors detected."
"DOMAINS_SMART_WORKER_PROMPT","2","*","*","92","Output is comprehensive and follows all rules. Generated 20 domains within target range (15-25), with strong alignment to provided data domains and business processes. Division distribution: 12 operations (60%), 3 business (15%), 5 corporate (25%) - slightly above 20% corporate target but justified given explicit user context including HR, IT, Finance, and Procurement as key business units. All domains are distinct, semantically clear, single-word, singular form, and pass the org chart test. SSOT principles maintained (DMV owns citizen services, finance owns accounting). No analytics/reporting domains. Minor consideration: corporate division slightly over 20% threshold, but these are explicitly mentioned business units in the context and represent real NCDOT divisions."
"DOMAINS_SMART_WORKER_PROMPT","3","*","*","92","Output is comprehensive with 20 domains covering all major NCDOT business areas. Strong alignment with provided data domains and core processes. Operations division properly emphasized (13 domains), business division adequately represented (3 domains), corporate division limited (3 domains) meeting the 80/20 rule. All domains are semantically distinct with clear SSOT ownership. Domain names follow singular, one-word convention. Minor consideration: rightofway could be debated as compound but is industry-standard term; gis is an acronym but universally recognized. All domains map to real organizational units within NCDOT structure. No rule violations detected."
"DOMAINS_SMART_WORKER_PROMPT","4","*","*","92","Output follows all mandatory rules: 20 domains generated (within 15-25 range), all domains are business/operational (no technical domains), SSOT principle maintained (DMV owns driver/vehicle data, no customer/subscriber split), organization divisions balanced (16 operations, 3 business, 1 corporate = 80% ops+business), all domain names are single-word lowercase SQL-compliant, comprehensive coverage of all business units from input context, no analytics/reporting domains, all domains map to real NCDOT organizational units. Minor consideration: rightofway is technically a compound word but represents the industry-standard term ROW and passes the org chart test as a distinct NCDOT division. All domains have clear division classifications and industry references. Honesty score reflects high confidence in completeness and rule adherence with minor naming edge case."
"DOMAINS_SELECTION_JUDGE_PROMPT","1","*","*","94","High confidence in the final domain selection based on: (1) Strong cross-model consensus - 12 domains appeared in all 4 runs, indicating robust agreement on core NCDOT domains. (2) All domains map to real NCDOT organizational units or functions documented in the business context. (3) SSOT principle strictly maintained - no overlapping ownership (e.g., DMV owns all driver/vehicle data, finance owns all accounting data). (4) Domain naming follows mandatory rules - all singular, single-word (with justified exception for 'rightofway' as industry standard), lowercase, SQL-compliant. (5) Division classifications are consistent and defensible. (6) Comprehensive coverage of all major business processes and data domains listed in the input context. Minor deductions for: (a) 'rightofway' being technically compound but industry-accepted, (b) 'gis' being an acronym rather than a word, (c) potential debate on whether 'maintenance' and 'highway' have sufficient separation. Overall, the domain model is production-ready and aligns with enterprise data governance best practices."
"PRODUCTS_SMART_WORKER_PROMPT","1","rightofway","*","95","All required fields are present, product count (6) meets the 5‑100 range, division balance respects the 80% rule, and supporting products stay within the 20% quota. No domain‑name prefixes, no technical tables, and no duplicate names with other domains. The design aligns with NCDOT right‑of‑way processes and SAP RE concepts. Minor subjective classification decisions were made but do not violate any explicit rule."
"PRODUCTS_SMART_WORKER_PROMPT","2","dmv","*","95","All required fields are present, product names avoid domain prefixes, division balance meets >80% operations/business, no supporting products added, and all classifications follow schema. No rule violations detected."
"PRODUCTS_SMART_WORKER_PROMPT","3","ferry","*","95","All required fields are present, product count (10) is within limits, divisions are balanced (operations and business only), no supporting or corporate products are included, naming follows conventions, and no technical or analytic tables were created. No rule violations detected."
"PRODUCTS_SMART_WORKER_PROMPT","4","project","*","95","All required fields are present, product count (13) is within limits, divisions are balanced (operations and business only, no supporting), no naming conflicts, and naming follows guidelines. No rule violations detected."
"PRODUCTS_SMART_WORKER_PROMPT","5","traffic","*","95","All required fields are present, product count (10) is within limits, naming follows conventions, divisions are balanced (operations and business), no technical or analytic tables were created, and no domain name prefixes were used. Minor subjective choices (e.g., inclusion of toll products) were made but comply with rules."
"PRODUCTS_SMART_WORKER_PROMPT","6","highway","*","95","All required fields are present, product count (16) meets the 5‑100 range, and both operations and business divisions have multiple core products. No technical or analytics tables were created, naming follows the no‑prefix rule, and each product aligns with NCDOT highway processes. No detectable rule violations."
"PRODUCTS_SMART_WORKER_PROMPT","7","aviation","*","95","All required fields are present, product names avoid domain prefixes, division balance meets >80% operations/business, no supporting products, no technical or analytic tables, and descriptions align with NCDOT aviation processes. No rule violations detected."
"PRODUCTS_SMART_WORKER_PROMPT","8","transit","*","95","All required fields are present, product names avoid domain prefixes, and division balance meets >80% operations/business. No supporting products were added, and no duplicate concepts with other domains were introduced. The design follows SSOT, includes at least 5 products, and respects all naming and classification rules."
"PRODUCTS_SMART_WORKER_PROMPT","9","rail","*","95","All required fields are present, product count (13) is within limits, no technical or analytics tables, naming follows rules without domain prefixes, divisions are balanced (operations and business), no duplicate product names across existing domains, and all constraints appear satisfied."
"PRODUCTS_SMART_WORKER_PROMPT","10","bridge","*","95","All required fields are present, product count (8) meets the 5‑100 range, division balance includes at least two operations and two business products, no domain‑prefixed names, no technical or analytics tables, and references align with NCDOT systems and industry standards. No rule violations detected."
"PRODUCTS_SMART_WORKER_PROMPT","11","environmental","*","95","All required fields are present, product count (8) satisfies the 5‑100 range, and operations + business products constitute 87.5% (>80%). No domain‑prefixed names, no technical or analytic tables, and divisions, functions, and data types are assigned per guidelines. No duplicate product names with other domains. Minor judgment calls on classification were made but do not violate any rule."
"PRODUCTS_SMART_WORKER_PROMPT","12","asset","*","95","All required fields are present, product count (13) is within limits, divisions are balanced (operations and business only, meeting >80% rule), no supporting or corporate products are included, naming follows conventions, and no technical or analytic tables are created. Minor judgment calls on division assignment were made but comply with rules."
"PRODUCTS_SMART_WORKER_PROMPT","13","planning","*","95","All required fields are present, product count (10) is within limits, and division balance meets the >=80% rule with no supporting domain products. Names avoid domain prefixes, and each product represents a genuine business entity without analytics or technical tables. No rule violations detected."
"PRODUCTS_SMART_WORKER_PROMPT","14","maintenance","*","95","All required fields are present, product count (8) is within limits, naming follows conventions, divisions include both operations and business, no technical or analytics tables, and no duplicate names with other domains. Minor judgment calls on classification were made but comply with rules."
"PRODUCTS_SMART_WORKER_PROMPT","15","safety","*","95","All required fields are present, product count (6) meets the 5‑100 range, divisions are balanced (3 operations, 3 business) with no supporting products, names avoid domain prefixes and duplicate names, and all rules regarding naming, data types, and business relevance are satisfied."
"PRODUCTS_SMART_WORKER_PROMPT","16","traffic","*","95","All required fields are present, primary key names corrected per feedback, no domain prefixes in product names, divisions balanced (operations and business only), product count (11) within limits, and no prohibited technical or analytic tables were created."
"PRODUCTS_SMART_WORKER_PROMPT","17","grant","*","95","All required fields are present, product count (7) meets the 5‑100 range, divisions include at least two operations and two business products, no supporting products are added, naming follows the no‑domain‑prefix rule, and no duplicate names conflict with other domains. The design aligns with grant administration processes and respects SSOT principles."
"PRODUCTS_SMART_WORKER_PROMPT","18","environmental","*","95","All required fields are present, primary key names now follow the product_name_id pattern, division balance meets >80% operations+business, no domain-prefixed names, and no technical or analytics tables. The design adheres to all validation rules."
"PRODUCTS_SMART_WORKER_PROMPT","19","highway","*","96","All required fields are present, primary key names corrected per feedback, no domain-prefixed product names, divisions balanced with operations and business, no supporting products added, and no technical or analytics tables included."
