domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
coverage,contract_terms,condition,condition_id,condition_id,,BIGINT,Y,,,,master_data,BIGINT,
coverage,contract_terms,condition,condition_policy_transaction_id,condition_policy_transaction_id,,BIGINT,,policy.policy_transaction.policy_transaction_id,,,master_data,"Policy transaction (endorsement, new business, renewal) that introduced or last modified this condition.",
coverage,contract_terms,condition,coverage_id,coverage_id,,BIGINT,,coverage.coverage.coverage_id,,,master_data,coverage.coverage.coverage_id,
coverage,contract_terms,condition,policy_term_id,policy_term_id,,BIGINT,,policy.term.term_id,,,master_data,policy.term.term_id,
coverage,contract_terms,condition,waived_by_party_id,waived_by_party_id,,BIGINT,,party.party.party_id,,,master_data,description,
coverage,contract_terms,condition,breach_consequence,breach_consequence,,STRING,,,,,master_data,description,
coverage,contract_terms,condition,compliance_due_date,compliance_due_date,,DATE,,,,,master_data,Date by which the insured must demonstrate compliance with the condition.,
coverage,contract_terms,condition,compliance_required,compliance_required,,BOOLEAN,,,,,master_data,description,
coverage,contract_terms,condition,compliance_required_flag,compliance_required_flag,,BOOLEAN,,,,,master_data,BOOLEAN,
coverage,contract_terms,condition,compliance_verified_date,compliance_verified_date,,DATE,,,,,master_data,Date on which underwriting confirmed the insured satisfied this condition.,
coverage,contract_terms,condition,compliance_verified_flag,compliance_verified_flag,,BOOLEAN,,,,,master_data,BOOLEAN,
coverage,contract_terms,condition,condition_category,condition_category,,STRING,,,,,master_data,description,
coverage,contract_terms,condition,condition_code,condition_code,,STRING,,,,,master_data,"Carrier or ISO form code identifying the standard condition text, e.g. ISO form number or internal code.",
coverage,contract_terms,condition,condition_description,condition_description,,STRING,,,,,master_data,Full text or summary of the contractual condition as it appears on the policy form.,
coverage,contract_terms,condition,condition_status,condition_status,,STRING,,,,,master_data,STRING,
coverage,contract_terms,condition,condition_type,condition_type,,STRING,,,,,master_data,"Classifies the condition: WARRANTY, CONDITION_PRECEDENT, CONDITION_SUBSEQUENT, SPECIAL_PROVISION, REPORTING_REQUIREMENT, OTHER.",
coverage,contract_terms,condition,created_timestamp,created_timestamp,,TIMESTAMP,,,,,master_data,System timestamp when this condition record was first inserted.,
coverage,contract_terms,condition,effective_date,effective_date,,DATE,,,,,master_data,Date from which this condition is in force on the coverage. Supports mid-term endorsement of conditions.,
coverage,contract_terms,condition,expiration_date,expiration_date,,DATE,,,,,master_data,Date on which this condition ceases to apply. Null means the condition runs to the end of the policy term.,
coverage,contract_terms,condition,form_number,form_number,,STRING,,,,,master_data,STRING,
coverage,contract_terms,condition,is_active,is_active,,BOOLEAN,,,,,master_data,description,
coverage,contract_terms,condition,is_mandatory,is_mandatory,,BOOLEAN,,,,,master_data,TRUE if the condition is a mandatory statutory or regulatory requirement; FALSE if it is a negotiated or optional provision.,
coverage,contract_terms,condition,is_satisfied,is_satisfied,,BOOLEAN,,,,,master_data,Tracks whether the insured has fulfilled the condition. NULL = not yet evaluated; TRUE = satisfied; FALSE = breached.,
coverage,contract_terms,condition,iso_condition_code,iso_condition_code,,STRING,,,,,master_data,description,
coverage,contract_terms,condition,last_modified_timestamp,last_modified_timestamp,,TIMESTAMP,,,,,master_data,TIMESTAMP,
coverage,contract_terms,condition,mandatory_flag,mandatory_flag,,BOOLEAN,,,,,master_data,BOOLEAN,
coverage,contract_terms,condition,modified_timestamp,modified_timestamp,,TIMESTAMP,,,,,master_data,Timestamp of the most recent update to this condition record.,
coverage,contract_terms,condition,non_compliance_action,non_compliance_action,,STRING,,,,,master_data,"Action taken if condition is not met: CANCEL, ENDORSE, SURCHARGE, NOTIFY, NONE.",
